Comment,Rating
想買很久了，趁特價趕快入手！,5
貨品正確 包裝良好 運送快速,5
送貨又實惠又好用，趁雙十一快入手,5
已經買第二台了，超好用。cp質超高,5
顏值，價格都甜到不行,5
比想像中的大 希望之後使用會很上手,5
氣炸鍋氣炸薯條，脆度剛好，不錯用,5
商品看起來不錯還沒使用不知道好用不好用,5
雙十一價格超殺，到貨速度快,5
居然可以用如此優惠的價格買到伊萊克斯的氣炸鍋，希望可以物超所值,5
外型很美，但有點錯估容量，真的可以烤一隻雞，對我家來說太大，但可接受。唯一缺點，剛開始用塑膠味很重，至少要7-8次高溫空機烘烤，濕抹布擦過才沒味道。不知道材質到底是什麼，對身體會不會有負擔？,4.5
出貨速度快、品質優良 買的划算用的更開心,5
品質保證 會再回購 到貨稍微慢一點,5
收到商品，品質OK，但還未開始使用,5
容量很大，也很容易操作，各種食材搭配的時間已經有配好一套，完全不用動腦，也可以選擇手動調整,5
質感滿分！,5
容量很大，還沒使用，看評價不錯，直播心動買下去,5
快捷鍵蠻方便的，運轉有轟轟聲，但是算是小聲，料理完成有嗶嗶提示音，氣炸籃的確蠻卡的，但是還可以接受，整體來說算ok,4
寄件快速，商品質感超棒，體積比預期中的要大，機器運作聲小，火力大。這個價錢這個品質比大陸白牌的強太多了。,5
CP值很高 炸出來的東西也很好吃,5
使用快速方便、烹調食品風味佳,5
出了出貨速度不快，其他地方無可挑剔。,5
啓動的聲音真的好安靜，個人覺得唯一比較不喜歡的大概是不好拉,4
出貨速度快，整體很有質感，容量很大。,5
減少油量用氣炸鍋方便許多,5
5公升比想像中大很多，馬上試了炸雞塊很好吃！,5
包裝良好 運送快速 物品正確,5
品質很不錯買過好多次了!!,5
很快就到 東西很乾凈,4
可以做海鮮，餅乾，披薩，炸豆腐，果乾，多樣化料理，實用。,5
好用👍,5
買了第二次，終於不是瑕疵品 運轉完全沒聲音就是瑕疵品，要趕快通知客服喔,5
家裡一直沒買氣炸鍋，利用特價時購買，使用上方便，效果不錯,4
出貨快速，品質看起來不錯！,4
價格最優惠 外觀有質感 ，第一天炸了甜不辣180 10分鐘烤焦🤣 再接再厲,5
11/2下單，11/7才收到貨，等的有點久，不過商品很不錯，烤食物很快就熟了，而且很酥脆，這個價格物超所值,5
真心好用，有品牌的商品，價格划算到有點讓人懷疑XD 硬要說有什麼缺點是體積有點大， ；炸物藍推進取出有點卡卡。用到目前還不錯,5
外觀真的很有質感，趁雙11活動購入,5
五公升真的蠻大台的，味道比之前使用過的科帥小很多，熱的速度也很快,5
超棒的商品 送貨速度也很快 很滿意👍,5
終於買了，使用起來非常好用。,5
買第三次了，有特價適合買起來！,5
氣炸鍋很好用，價格很優惠，值得推薦,5
商品質感不錯，很大台。但在使用時會有散發塑膠味是正常嗎？,5
容量大，氣炸效率不錯，靜音 ，唯獨氣炸籃要推進去時比較卡，需要用力推。不過以這價錢來說 cp值算高了。,4
因為價錢算便宜，希望品質也不錯,5
外觀漂亮.質感佳.氣炸出來的商品效果都不錯很推👍,5
出貨快速，商品與圖片符合品質還不錯,4
紙箱如大家說的沒有封箱貼，氣炸籃有點難推進去，完成後的提示音算小聲。,3
比想像中的大台 操作簡單,5
"收到商品後測試後發現有巨大噪音,已跟momo反應但無果,已申請換貨",1
雙11購入1911 比想像中還大 好像無法中途暫停還在研究😅,5
第二次使用外觀塑膠變形😵 我使用180度10分左右！怎會這樣？還合不太起來必須用力,4.5
第一次收到有些瑕疵有協助 第二轉扭會是喀喀喀的就無所謂了,4
特價時買到很值得，鍋子材質個人感覺沒有很厚實，火力還算不錯。只是完成後提示音好小聲有點小遺憾……,4
特價1911購入，外鍋密合度不夠客服只罐頭式回覆辦退貨便可，再訂一台才開箱測試一起動風扇發出喀喀聲，一來一往也夠累的，包裝真如大家所說沒有封箱貼也沒其他外箱包裝，雙11貨量大機器被怎麼摔都不知道⋯,4
操作方便簡潔，長輩使用上沒有負擔，很棒！,5
好漂亮出貨速度好快網路評價好的產品非常超值,5
好喜歡使用氣炸鍋來烤麵包，太好吃了！！到貨的質感也很好。,5
Cp值非常高！值得推薦！但不知道為什麼我的氣炸鍋側邊會漏風～氣炸時會有油煙從側邊漏出@@,5
到貨快，性價比高，好用,5
商品顏值非常高，容量夠大，使用起來非常順手,5
出貨不止快速是神速😂,5
到貨還算迅速，商品好用方便，整體而言還不錯,4
出貨超快速，使用狀況良好！,5
產品設計風格適合自己,4.5
出貨速度偏慢，不過外型算流線型好看的。,4.5
出貨速度快，今天第一次使用，還不錯。,5
還在摸索當中，不過覺得外型還不錯，運送也很快速，包裝也很確實。,5
太早買，1101更划算,5
等到特價1999買的，賣完竟然發現更低價1911元，真的是有點哭笑不得，但是早買早享受，晚買享折扣囉！,5
送貨速度精確而且包裝完整,5
空間大，聲音安靜，操作簡單，家裏3個孩子吃的食量算足夠了,5
收貨後尚未使用，看評論而購買，希望符合需求,5
出貨迅速，好用，大小非常剛好,5
外型美觀，經濟實惠好用,5
送貨快速，CP值不錯(以這樣的價格)，只是送來的時候是只有一個伊萊克斯的箱子裝著，沒有膠帶黏或繩子綁著，也沒有另一個外箱裝，所幸開箱後，尚無問題，開啟適用也正常。,4
內鍋有點難推進去， 有點卡,4.5
還行啦還行啦還行啦還行啦還行啦還行啦還行啦還行啦,5
搶購後更便宜⋯傻眼⋯ 東西倒是真的不錯～,5
整體看起來不錯運轉時聲音不大觸控好操作。,5
真的美觀好用而且價格優惠推👍～這有另外手把配件可以選購嗎？謝謝,5
限時搶購1999時購買，結果再來的檔期變1911，真的有點微妙（。）懶得退貨再重下單就這樣了。 使用上沒特別問題，但5公升很大，建議家裡放得下再買這台。,5
快速到貨，但商品有碰損 不知道是不是抱著大家都想說算了 看留言 碰損的機率蠻多蠻大的,3.5
價格好優惠，立刻下單來買！,5
很棒,5
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
特價時候買，與沒特價時價差很大,5
很快到貨,5
收到後昨天開箱試用，氣炸鹹酥雞果然非同凡響！全家人都愛！,5
簡單便宜好用但限時特賣結束後，隔幾天價格居然更便宜?!!,5
安靜 好使用,5
很大一台，等買烘焙紙到了才要開用。 說明書內容有點多，本人看很多字就頭疼🤦，所以還沒研究完畢。 對！限時100台$1999搶光光，才竊喜有買到，現在不小心看到1911...傻眼,5
搶購後 隔二天竟降更低價,3
好用的鍋趁特價買起來,5
外箱有破損， 外箱開口處沒有貼膠帶隨便都可以打開， 沒有額外的紙箱包覆， 鍋底有刮傷痕跡。 客服有說可以換貨，但是應該不影響使用， 所以懶得換貨了。,3
非常滿意,5
cp值高 好用 好看,5
此牌產品有品質，超好用，很滿意,5
"看不懂說明書,新型和舊型操作差在那",3.5
還不會使用.說明書字體太太小了.好難研究.若能附幾道菜的教學會更好.,3.5
覺得還不錯、好清洗，趁特價又買一台給媽媽用,5
特價購入；使用上還不錯，就是有點太台，拉籃那邊因為是塑膠也有點沒質感,5
出貨迅速，使用方便，開封無異味。,5
送貨速度快，特價1999買的，容量大、聲音小、CP值高，用了很滿意。,5
大品牌品質有保證，但是價差很大，確定有特價再購買,5
5公升真的滿大一台，只看圖片看不出來，一般租屋族可能選3公升就好,5
出貨速度非常快！整體質感很好😍用優惠的價格買到實在太划算👏🏼,5
整體質感佳，除了旋鈕塑膠感很重 特價購入cp直可以,4
出貨速度快、品質優良 買的划算用的更開心,5
特價1999，外型好看，聲音靜，空間大台，很滿意！,5
出貨速度非常快！容量很夠用，整個商品品質看起來很棒！,5
開箱沒有異味，稍作清潔擦拭內鍋有一點點黑污，沒有很嚴重，拿來氣炸馬鈴薯，很給力，功能很強！,5
速度真的很快，外型好看,5
家庭必備幫手 5L 特價1999超優惠 馬上下單 快速到貨,5
MOMO出貨速度非常迅速，值得推薦。 伊萊克斯氣炸鍋運轉非常安靜，15分鐘免翻面就炸好無骨雞腿排，節省很多時間，油煙也比傳統煎炸少許多。非常棒的產品。,5
特價購入才1999元 非常划算,5
看起來還不錯，👍，應該很好用。,5
氣炸鍋還沒使用，外觀很滿意，,5
大品牌品質沒話說，比大陸貼牌的好用，有特價建議買起來,5
喜歡的品牌，剛好缺一台，趁降價時購入，好用又方便，外型也漂亮，值推...,5
很棒操作方便,5
Very good point,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
精美好用操作簡易值得回歸,5
內鍋有疑似脫膠脫膜的地方 會黏黏的 是商品品質有問題嗎？,4
家裡氣炸鍋壞掉，看中這台買來試試,5
好用，不用物超所值,5
容量大外觀整體質感不錯,5
出貨速度非常快，下次還要再買,5
氣炸新手，價格不錯,5
新竹貨運的大哥很貼心，出貨速度快又有效率,5
送貨超快,5
物流很棒，到貨速度比預計快。 產品沒有多一層外層紙箱包裝、也沒有膠帶封口，有點傻眼。 實際使用氣炸籃滿難推，沒特別開鍋僅按說明書清洗，初次使用有塑膠味。 但因為外型好看+特價不到兩千入手，整體可接受。,4.5
出貨速度快 但還沒開始用 不確定是否好用,4
觀望很久的商品，上次特價沒有買到感到惋惜 剛好這次又趁特價入手1999非常超值！,5
蠻大的，有兩個鍋內鍋，要洗兩個😞,5
快速到貨 品質優良 服務專業 很好用容量大又平價的氣炸鍋,5
貨運非常快速，運作聲音比起它牌算安靜了,5
第一次購買，還沒使用，買完後大降價,3.5
趁著有優惠卷購買使用看看,4
空間大 操作方便 價格實惠已購3機,5
原本快速到貨，不知道為何變好久才到，特價的時候買，實際上比想像中大台，但外觀很美，希望使用後可以達到效果,5
商品非常實用，划算好用。,5
外型很有質感 重量有點重 好清潔 要是說明書有更多料理說明就好了,4
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
還未使用，希望能夠滿意,4
商品配送快速，非常滿意。,5
收到商品開箱了外型不錯，還沒使用，希望好用。,5
出貨速度快，商品品質良好～,5
趁優惠價1990購入，覺得很超值,5
買給媽媽使用，媽媽說很好用，容量也很大！,5
最底盤，有洞洞又不,3
"Goooood,I like this one and 1990NTD",5
正在試用體驗中，希望不會讓我失望,5
外觀時尚質感又好，出貨速度快,5
外型很有質感耶!很喜歡～操作介面也簡單明瞭，期待氣炸效果😍,5
出貨速度超快，正好家中的氣炸鍋需要更換。,5
外型設計美觀，操作簡單明瞭，只是機器稍微大台了點⋯,5
很大台，改天來炸東西試試看,5
非常好用，操作簡便易懂，效果也極佳,5
很好用，價格實惠，推推,5
超好用的⋯100分 棒棒,5
家裡的氣炸鍋湊巧壞了！ 用點數換優惠價，CP值還不錯,4
"第一次購買,目前使用還不錯",5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
出貨速度超級快，用心包裝得很完整，讓人很很放心。商品狀況良好正常，牌子正確,5
外形美觀 操作簡單 又有優惠 物超所值,5
外型很時尚好看，用集點折價很划算,5
比想像中的大很多，外觀高尚、顏色優雅，尤其是使用點數折價券1990元購入，相當值得，開箱試用烤香腸很滿意！,5
集點加價購買，很划算,5
集點加價購購入，以這個品牌而言價格實惠CP值高，容量也大，MOMO台的加價購商品近期舉辦的還不錯。唯一美中不足的地方是內鍋的部分不是平滑面，比較容易刮傷，以及把手處是塑料,4.5
體體積比預期大很多，大功率，希望好用,5
送貨很快 外表很好看，很有質感。好不好用就用看看才知道囉。,5
外型設計好看，容量夠大,5
好看，用折價卷買的，很划算,5
"出貨迅速,內鍋有點卡卡的.",4
特價時購入很划算！簡單好操作,5
出貨速度快包裝完善質感優,5
商品品質好，到貨速度快,5
家人都喜歡，特價買超划算,5
還不錯用，趁特價入手，很划算哦！,5
運送速度很快，加油！,5
出貨速度很快，加購價很划算，但還沒拆開來使用,5
特價$1988購買，超級划算，使用起來容量又大品質又好，而且也很好看。,5
相信大品牌，品質有保障， 買來嘗試做一些簡單新料理， 是好幫手。,5
"家裡的氣炸鍋壞了，剛好看到評價不錯的這款氣炸鍋在特價，立刻買起來,特價後不到2000元",5
寄件速度很快，剛好趕上使用,5
讃讚讚讚讚讚讚讚讚讚,5
點數加購價買的，價格極優惠！,4
怎麼品質 好價格優惠，有需要會再回購,5
兒子在外婆家過暑假，買給媽媽跟兒子使用，兒子說非常好用，很方便，照片沒有拍很好，是新的沒有刮痕，滿意👍🏻,5
特會價買入，拿來事試，希望能效果能好用，畢竟衣萊斯克是名牌,5
容易清潔、內設8種氣炸模式，好用,5
伊萊克斯的氣炸鍋品質真的很不錯 容量也蠻大的 趁下殺買到真的很值得,5
好用,5
容量很大‼️觸控簡單好用❤️,5
產品外觀美，容量夠大，送貨速度快，特價時購入超值得。,5
超好用送貨迅速，謝謝,5
用折價券買的，整個很超值，型也很好看。很喜歡,5
等買薯條回來 就可以氣炸了,4
收到的時候發現其實很多地方都有磨損，但是不想再換貨了，因為這次等蠻久的,4
去社區管理員那邊領貨，結果看到上面封條有被拆開，現在拒收在管理員那，等待管理員通知。 最後是一對一換貨，封條完整未開封，直接拿來開箱使用，用起來還不錯，機台略大，炸起來比油炸的略差，但能逼食材的油出來,5
體積蠻大的，還沒用看看，不知道好不好用,5
還沒使用，但感覺很物超所值，期待～,5
品質很好，出貨快，值得再次購買。,5
第一次使用會有不好的味道,4
特價買大容量的氣炸鍋很值得！,5
非常好用！照著系統設定的食譜按就能完成想要的料理。,5
特價時購入，商品質感真的很好，目前只用來烤麵包，無需預熱，還比比傳統烤箱省時，清洗也很容易，推薦！,5
非常滿意。之前聽朋友說，氣炸鍋不好用。一直不敢買。馬上炸地瓜條，很滿意,5
外觀造型好看，質感也不錯,5
出貨真的很快，外觀設計很好看，目前還沒有使用，檢查一下後沒有問題，等待假日再來開箱使用,5
包裝超簡單的，連一個封膠帶都沒有，超級信任客戶跟外送人員 使用上還不錯，使用時聲音不會很大聲，油煙也還好，特價時候買C P值超高的,5
好用，大小剛好。,5
好用，只是很大一台喔！,4
打開商品內鍋一邊高一邊低，主機開關已磨損，有瑕疵，自行聯絡客服有回覆要換貨,4
特價時買很超質，氣炸鍋質感很好，聲音也很小，希望好用。,4
"收到貨時看到沒有外箱包裝有點差異,幸好外觀沒有破損,目前還沒有使用不知道好不好用",4
質感不錯，比想像中大台，需做開機儀式,5
商品品質很好 價格合理 出貨快速,5
容量很大，送朋友很實用,4.5
外型美觀大方、價格實惠封、物超所值,5
聲音小，目前使用不錯，操作方便，外型好看,5
剛買還沒使用，包裝良好，送貨快速。,5
品質良好，出貨快速，良好的購物體驗。,5
很方便，媽媽很喜歡，又可以做很多料理了,5
容量大，電子介面，好用和操作,5
商品出貨速度快，只是第一次遇到包裝沒有封條,5
商品正確、出貨快速、包裝稍微簡陋,5
寄送速度超快！東西好用！,5
考慮好久還是跟上流行，入手用看看ㄚ,5
商品良好，但宅配通配送非常差勁，司機不聯繫也未到點配送，直接在系統註記送達未遇及無此聯絡人，momo應注重配送合作商品質。,5
趁優惠購買，還沒使用，希望好用,4
聲音小、容量大、火力大、CP值不錯,4
